timestamp,accel_x,accel_y,accel_z,alternator_current,altitude_acc,angle_slip,angle_track,auto_status,batt_volt,brake_pressure,carter_temp,curvature_radius,digital,ect,ecu_temp,engine_in,engine_rpm,front_left_damper,front_left_wheel_speed,front_right_damper,front_right_wheel_speed,fuel_consump,fuel_press,fuel_pump_current,gear,gs_id,iat,ignition_current,imu_status,injection_current,lamda,latitude,latitude_acc,longitude,longitude_acc,main_fan_current,map,node_pcb_temp,non_prior_current,oil_press,oil_temp,pdm_id,pitch_acc,pitch_angle,pitch_rate,prior_current,rear_left_speed,rear_right_speed,roll_acc,roll_angle,roll_rate,steering_wheel_angle,sw_id,temp1,temp2,temp3,temp4,temp_imu,temp_pdm,time_stamp,tp,velocity_x,velocity_y,velocity_z,water_pump_current,yaw_acc,yaw_angle,yaw_rate,name,mode,started_at,ended_at,laps,total_time,best,avg,last,consistency_ms,lap_number,lap_time_s,lap_time_fmt,delta_s,delta_fmt,state
621.835,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
621.835,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
621.835,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
621.996,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
621.996,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
621.996,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
621.996,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.056,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.056,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.056,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.143,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.143,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.143,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.143,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.309,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.309,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.309,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.309,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.455,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.455,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.455,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.455,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,197,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.544,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.544,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.544,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.613,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.613,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.613,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.676,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.676,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.676,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.676,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.824,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.824,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.824,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.824,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.990,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.990,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.990,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
622.990,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.054,0,0,0,0,0,0,0,0,12,0,0,0,0,69,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.054,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.054,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.134,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.134,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.134,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.134,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.294,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.294,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.294,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.294,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.446,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.446,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.446,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.446,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.555,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.555,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.555,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,193,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.623,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,189,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.623,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,189,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.623,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,189,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.675,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,189,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
623.675,0,0,0,0,0,0,0,0,12,0,0,0,0,68,53,2,0,0,0,0,0,0,189,0,0,0,48,0,0,0,1,0,0,0,0,0,95,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarde,Endurance,20:49:20,,4,00:20.107,00:00.818,00:05.027,00:06.131,3599.0,4,6.131004,00:06.131,5.312770,+5.313s,
