timestamp,accel_x,accel_y,accel_z,alternator_current,altitude_acc,angle_slip,angle_track,auto_status,batt_volt,brake_pressure,carter_temp,curvature_radius,digital,ect,ecu_temp,engine_in,engine_rpm,front_left_damper,front_left_wheel_speed,front_right_damper,front_right_wheel_speed,fuel_consump,fuel_press,fuel_pump_current,gear,gs_id,iat,ignition_current,imu_status,injection_current,lamda,latitude,latitude_acc,longitude,longitude_acc,main_fan_current,map,node_pcb_temp,non_prior_current,oil_press,oil_temp,pdm_id,pitch_acc,pitch_angle,pitch_rate,prior_current,rear_left_speed,rear_right_speed,roll_acc,roll_angle,roll_rate,steering_wheel_angle,sw_id,temp1,temp2,temp3,temp4,temp_imu,temp_pdm,time_stamp,tp,velocity_x,velocity_y,velocity_z,water_pump_current,yaw_acc,yaw_angle,yaw_rate,name,mode,started_at,ended_at,laps,total_time,best,avg,last,consistency_ms,lap_number,lap_time_s,lap_time_fmt,delta_s,delta_fmt,state
6.778,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
6.778,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
6.833,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
6.833,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
6.833,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
6.898,0,0,0,0,0,0,0,0,13,0,0,0,0,64,0,0,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
6.898,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,0,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
6.898,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
6.898,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
6.998,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.012,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.012,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.012,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.154,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.154,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.154,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.154,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.223,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.223,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.223,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.351,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.351,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.351,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.351,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.492,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.492,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.492,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.492,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.657,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.657,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.657,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.657,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.712,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.712,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.712,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.791,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.791,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.791,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.843,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.843,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.843,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.923,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.923,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.923,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7.923,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.019,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.019,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.019,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.019,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.152,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.152,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.152,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.152,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.220,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.220,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.220,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.350,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.350,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.350,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.350,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.732,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.732,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.732,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.781,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.781,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.781,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.846,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.846,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.846,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.915,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8.915,0,0,0,0,0,0,0,0,13,0,0,0,0,64,41,2,0,0,0,0,0,0,111,0,0,0,49,0,0,0,0,0,0,0,0,0,95,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
